Sandbox Company_US_1,,,,,
Account List,,,,,
,,,,,
,,,,,
,Account,Type,Detail type,Description,Balance
,Checking,Bank,Checking,Main operating account,"15,247.83"
,Savings,Bank,Savings,Emergency fund savings account,"25,000.00"
,Accounts Receivable (A/R),Accounts receivable (A/R),Accounts Receivable (A/R),Outstanding customer invoices,"18,542.67"
,Inventory Asset,Other Current Assets,Inventory,Landscaping materials and supplies,"8,945.50"
,Prepaid Expenses,Other Current Assets,Prepaid Expenses,Prepaid insurance and rent,"3,200.00"
,Uncategorized Asset,Other Current Assets,Other Current Assets,Miscellaneous current assets,"450.00"
,Undeposited Funds,Other Current Assets,Undeposited Funds,Cash and checks awaiting deposit,"2,850.00"
,Truck,Fixed Assets,Vehicles,2019 Ford F-250 Work Truck,"35,000.00"
,Truck:Depreciation,Fixed Assets,Accumulated Depreciation,Accumulated depreciation on truck,"-8,750.00"
,Truck:Original Cost,Fixed Assets,Vehicles,Original cost of truck,"43,750.00"
,Equipment,Fixed Assets,Equipment,Landscaping equipment and tools,"22,500.00"
,Equipment:Depreciation,Fixed Assets,Accumulated Depreciation,Accumulated depreciation on equipment,"-6,750.00"
,Equipment:Original Cost,Fixed Assets,Equipment,Original cost of equipment,"29,250.00"
,Accounts Payable (A/P),Accounts payable (A/P),Accounts Payable (A/P),Outstanding vendor bills,"-4,825.33"
,Mastercard,Credit Card,Credit Card,Business credit card balance,"-2,156.78"
,Visa,Credit Card,Credit Card,Secondary business credit card,"-892.45"
,Arizona Dept. of Revenue Payable,Other Current Liabilities,Global Tax Payable,Arizona state tax liability,"-1,247.50"
,Board of Equalization Payable,Other Current Liabilities,Global Tax Payable,Sales tax payable,"-2,893.67"
,Payroll Liabilities,Other Current Liabilities,Payroll Liabilities,Employee tax and benefit withholdings,"-3,456.78"
,Loan Payable,Other Current Liabilities,Other Current Liabilities,Equipment financing loan,"-12,000.00"
,Notes Payable,Long Term Liabilities,Other Long Term Liabilities,SBA loan for business expansion,"-45,000.00"
,Opening Balance Equity,Equity,Opening Balance Equity,Initial equity investment,"25,000.00"
,Retained Earnings,Equity,Retained Earnings,Accumulated business earnings,"12,450.89"
,Owner's Equity,Equity,Owner's Equity,Additional owner contributions,"10,000.00"
,Billable Expense Income,Income,Service/Fee Income,Reimbursable expenses billed to clients,"2,450.00"
,Design income,Income,Other Primary Income,Landscape design consultation fees,"15,750.00"
